,channel_id,country
0,UCzWrhkg9eK5I8Bm3HfV-unA,US
1,UCzWn_gTaXyH5Idyo8Raf7_A,US
2,UCzWm1-4XF7AHxVUTkHCM1uw,deleted
3,UCzWJ01xI9I6uzVefwNk0TzQ,SE
4,UCzWBspFXaesJaWSXM27anuQ,GB
5,UCzW9550lVYzynQiytup5Slg,US
6,UCzVfE2dUh3oTSZEVWyEgs0g,US
7,UCzV_hd9M_7UBEVrGLUJu-2Q,US
8,UCzV7o8ZdQxwm3by5QmanScQ,US
9,UCzV07t6mx27AcEPmpAUJYXw,IN
10,UCzUycyYvC0wMyfGrb8PuuYA,IN
11,UCzUyasGg5A03r3zPkorqIBQ,US
12,UCzUlyaNAdtHUbbhpG_xHqIA,IN
13,UCzUV5283-l5c0oKRtyenj6Q,US
14,UCzTvG9uItC9M19-d0oFXeug,
15,UCzTfnC661R3LXu_mS9aRFKA,NZ
16,UCzTWdr_9IVWWmeStz5qDjoA,US
17,UCzTF8VGf1wY4juDDmDqgxWA,US
18,UCzT96R0-jBTklRHKaDepxJg,BR
19,UCzSPtyMBVjzdqtt12ZAWVmA,IN
20,UCzS2HOFik6p6tR0R-EGjB0Q,IN
21,UCzS1LsjeAAxQliZVtpp7tPQ,US
22,UCzRvs4DoFFk2xsJNYahQJUg,IN
23,UCzRv3TVZZwFgdrhvGfieiFg,US
24,UCzRF-OFuv8os-bGzANpQGqg,US
25,UCzREuchzOqiawpEpvEM0Tyg,US
26,UCzREC-7T9PeVMlZNBgUJMvw,CA
27,UCzRDbN7DlgKFC0lzO4YGxCw,
28,UCzRBOssI9G6VN6HNP--wGFA,US
29,UCzR9D2R1rH8-AwF06xbbO9Q,
30,UCzQrtnJLZaH09xyZ1oKNq7Q,US
31,UCzQi6If9UOc7T_PSZoRFvjA,IN
32,UCzQdkHKOTVT_chwgDcau4sg,US
33,UCzQKiemLFm3yG4yRVNI0unQ,US
34,UCzQ9th8PRXUR8GgFzrD3tmQ,IN
35,UCzQ9rowk93wmA6cX8uyp20A,
36,UCzPpSrjtR0ByfF9uq2ZTOlw,
37,UCzPMUOQiUoq9GnhHgcLZEqQ,US
38,UCzP2vtSg8Mz0ilM2WK9G4fA,
39,UCzOwbwoOlbsms1CBn9mPHeg,CA
40,UCzOuGtenTx9oDi5Bvxg7L_Q,US
41,UCzOgyJNpfmPsdqoozjXMevQ,US
42,UCzOdB9E4MwgxU0fhcHmlzHQ,IN
43,UCzOZ29MW0sbfnJHnZQH7_cA,US
44,UCzOIlU2dIXOTiTlFDuA3PJg,RO
45,UCzOCGQ5cK8BxxCz3HGUmswQ,US
46,UCzO4YK3K20b7PHJTNvpGj-A,US
47,UCzNYvV7VnH37R7jk9SVG9dA,US
48,UCzNN5amXsxsGzuehTXUYTrQ,US
49,UCzNGEDuZOa-hA3abbWtTkUA,CA
50,UCzNAswnSN0rZy79clU-DRPg,
51,UCzMvPcn-vptgcayeMKXChZQ,US
52,UCzMn_cTLd9GaM8sY3gyYM9A,DE
53,UCzMidCxMjmFPwwKulMxLzhA,US
54,UCzMV_BNHRP71kMA7ZZ95MaA,
